26.97 -10.438 38.7
27.393 -10.653 38.7
27.628 -10.693 38.7
28.827 -10.351 38.7
34.995 -10.297 38.7
35.276 -10.329 38.7
38.319 -10.788 38.7
40.136 -11.698 38.7
41.769 -12.679 38.7
43.038 -13.606 38.7
46.671 -15.842 38.7
47.149 -16.399 38.7
50.25 -17.552 38.7
50.496 -17.712 38.7
53.046 -16.982 38.7
53.311 -16.824 38.7
60.122 -14.74 38.7
60.499 -14.754 38.7
61.065 -14.607 38.7
64.602 -12.785 38.7
65.214 -11.789 38.7
65.27 -11.676 38.7
65.754 -9.8784 38.7
65.282 -5.1438 38.7
65.766 -3.3464 38.7
63.896 6.6595 38.7
63.919 7.2042 38.7
63.434 12.462 38.7
63.389 12.747 38.7
62.511 14.497 38.7
61.961 15.635 38.7
57.802 19.807 38.7
57.008 22.304 38.7
56.425 22.873 38.7
52.983 26.723 38.7
52.311 27.713 38.7
49.822 30.343 38.7
49.818 30.346 38.7
48.609 30.975 38.7
47.799 31.242 38.7
46.96 31.152 38.7
46.605 30.991 38.7
46.562 30.97 38.7
37.803 31.427 38.7
35.388 34.257 38.7
33.43 34.399 38.7
24.652 34.486 38.7
23.167 34.696 38.7
18.325 30.014 38.7
17.493 29.297 38.7
8.3868 28.096 38.7
7.3487 28.098 38.7
-0.93152 30.286 38.7
-1.5192 30.554 38.7
-2.3379 30.565 38.7
-2.9574 30.175 38.7
-6.5922 28.299 38.7
-6.7489 28.223 38.7
-7.3684 27.833 38.7
-9.5973 25.06 38.7
-9.758 24.914 38.7
-17.507 21.684 38.7
-24.886 27.841 38.7
-25.287 28.947 38.7
-25.364 29.066 38.7
-29.568 31.374 38.7
-29.795 31.523 38.7
-31.113 31.826 38.7
-31.219 31.841 38.7
-31.866 31.492 38.7
-36.335 30 38.7
-39.265 29.806 38.7
-42.096 28.394 38.7
-47.173 25.361 38.7
-47.327 25.295 38.7
-52.975 24.908 38.7
-53.944 25.079 38.7
-56.806 25.467 38.7
-57.451 25.491 38.7
-59.61 24.076 38.7
-63.787 22.679 38.7
-64.922 22.657 38.7
-72.92 24.313 38.7
-74.071 25.307 38.7
-77.54 25.881 38.7
-78.101 25.632 38.7
-78.882 23.293 38.7
-79.2 21.007 38.7
-79.198 20.943 38.7
-78.862 20.348 38.7
-77.952 19.243 38.7
-75.927 12.872 38.7
-75.792 12.557 38.7
-75.809 5.9521 38.7
-75.601 4.4133 38.7
-72.002 -1.3769 38.7
-71.544 -1.8439 38.7
-68.399 -5.0173 38.7
-67.218 -6.0369 38.7
-65.07 -12.917 38.7
-65.065 -13.447 38.7
-64.783 -15.417 38.7
-64.66 -15.599 38.7
-64.128 -16.507 38.7
-63.934 -16.584 38.7
-59.564 -19.083 38.7
-59.314 -19.376 38.7
-57.287 -20.333 38.7
-55.489 -20.981 38.7
-54.839 -20.811 38.7
-46.242 -21.725 38.7
-44.577 -22.799 38.7
-44.466 -22.837 38.7
-43.663 -22.704 38.7
-41.56 -21.576 38.7
-35.504 -21.655 38.7
-34.491 -21.972 38.7
-28.021 -22.462 38.7
-27.448 -22.784 38.7
-27.285 -22.846 38.7
-26.5 -22.894 38.7
-24.821 -22.629 38.7
-24.454 -22.503 38.7
-23.474 -21.654 38.7
-17.027 -19.835 38.7
-14.88 -18.346 38.7
-7.3046 -16.994 38.7
-6.057 -15.255 38.7
-4.4326 -13.9 38.7
0.4051 -10.457 38.7
3.2275 -10.026 38.7
3.3782 -10.022 38.7
7.0573 -10.691 38.7
7.3356 -10.812 38.7
7.7908 -10.91 38.7
8.1685 -10.924 38.7
9.5995 -10.024 38.7
13.547 -6.9379 38.7
14.813 -6.4907 38.7
25.216 -8.1837 38.7
25.257 -8.232 38.7
25.326 -8.2992 38.7
26.97 -10.438 38.7
