-29.5 4
-28.5 5
-27.5 13
-26.5 15
-25.5 21
-24.5 28
-23.5 49
-22.5 43
-21.5 114
-20.5 95
-19.5 119
-18.5 130
-17.5 160
-16.5 162
-15.5 204
-14.5 267
-13.5 294
-12.5 335
-11.5 353
-10.5 359
-9.5 451
-8.5 443
-7.5 487
-6.5 492
-5.5 517
-4.5 484
-3.5 551
-2.5 509
-1.5 525
-0.5 541
0.5 526
1.5 504
2.5 551
3.5 491
4.5 515
5.5 515
6.5 484
7.5 510
8.5 498
9.5 488
10.5 471
11.5 460
12.5 456
13.5 432
14.5 432
15.5 406
16.5 403
17.5 366
18.5 365
19.5 392
20.5 331
21.5 299
22.5 261
23.5 270
24.5 189
25.5 207
26.5 163
27.5 128
28.5 125
29.5 96
30.5 69
31.5 61
32.5 63
33.5 33
34.5 33
35.5 22
36.5 29
37.5 16
38.5 6
39.5 1
40.5 0
41.5 0
42.5 0
43.5 0
44.5 0
45.5 0
46.5 0
47.5 0
48.5 0
49.5 0
50.5 0
51.5 0
52.5 0
53.5 0
54.5 0
55.5 0
56.5 0
57.5 0
58.5 0
59.5 0
60.5 0
61.5 0
62.5 0
63.5 0
64.5 0
65.5 0
66.5 0
67.5 0
68.5 0
69.5 0
